name;avg_price;cuisine_features;telephone;address;location;opinions;ratings;comments_count;                 features;schedule;appetizing_dishes;restaurant_features;similar_restaurants;web_site
Texas Burger Alcalá;Rango de precios por persona 11 €-20 €;Comida Rápida, Americana, Opciones vegetarianas;tel:+34912801333;Rda. de la Pescadería, 5, Alcala de Henares;Rda. de la Pescadería, 5, Alcala de Henares, Comunidad de Madrid, España;{"rape": "excellent", "pescado": "excellent", "hamburguesas completas": "good", "hamburguesas americanas": "good", "laing": "good", "nachos": "good", "carne": "normal", "queso": "good", "la salsa": "normal"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.4/5", "Facebook": "4,8/5", "Trip": "4.7/5"};{"Yelp": "1", "Foursquare": "2", "Google": "860", "Facebook": "140", "Trip": "61"};Tarjetas de crédito aceptadas, Entrega, Asientos al aire libre, Para llevar, Reserva;{"Lunes": "Cerrado", "Martes": "12:00-16:00, 19:30-00:00", "Mi\u00e9rcoles": "12:00-16:00, 19:30-00:00", "Jueves": "12:00-16:00, 19:30-00:00", "Viernes": "12:00-16:00, 19:30-00:00", "S\u00e1bado": "12:00-16:00, 19:30-00:00", "Domingo": "12:00-16:00, 19:30-23:30"};rape, pescado, hamburguesas completas, hamburguesas americanas, laing, nachos, nachos, carne, queso, la salsa, empanadillas, donuts, cuerdas de cebolla, pastrami, sándwiches de pastrami, patatas fritas, patatas fritas con queso, patatas, pollo, aves de corral, tarta de queso, cerdo, sándwiches, pizza, ensaladas;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;TANGÚ, Buddy Hollys, Dulcinea, Restaurante Oh la La;http://texasburgueralcala.com/
Ki-Jote;Rango de precios por persona 9 €-22 €;Japonesa, Fusión, Sushi, Española, Opciones vegetarianas;tel:+34652831015;Vía Complutense, 42, Parte trasera del edificio, hacia Avenida Guadalajara, Alcala de Henares;Vía Complutense, 42, Parte trasera del edificio, hacia Avenida Guadalajara, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "excellent", "at\u00fan": "excellent", "salm\u00f3n": "excellent", "pasta udon": "excellent", "carpacho": "excellent", "pato": "excellent", "tempura": "excellent", "marisco": "excellent", "sashimi de salm\u00f3n": "excellent"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.5/5", "Facebook": "4,8/5", "Trip": "4.7/5"};{"Yelp": "3", "Foursquare": "3", "Google": "607", "Facebook": "83", "Trip": "484"};Tarjetas de crédito aceptadas, Asientos al aire libre, No wifi, Reserva, Entrega, Para llevar, TV, Accesible para sillas de ruedas;{"Lunes": "13:30-16:30", "Martes": "13:30-16:30", "Mi\u00e9rcoles": "13:30-16:30, 20:00-23:30", "Jueves": "13:30-16:30, 20:00-23:30", "Viernes": "13:30-16:30, 20:00-00:00", "S\u00e1bado": "13:30-16:30, 20:00-00:00", "Domingo": "13:30-16:30, 20:00-00:00"};pescado, atún, salmón, pasta udon, carpacho, pato, codorniz, helado, helados, tempura, marisco, sashimi de salmón, carne, pollo, cerdo, queso, sopa ramen, sopa, sashimi, tarta de queso, carne de vaca, la salsa, entrantes, venado, arroz, pulpo, sopa de miso, caballa, ostras;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ébano Gastro Experience, El Hidalgo, Restaurante Casino - Alcalá de Henares, Pan De Cristal;http://www.ki-jote.com/
Bar Pastrana;Rango de precios por persona 9 €-22 €;Española, Americana, Opciones vegetarianas;tel:+34918788662;de, Calle Los Batanes, 2, Alcala de Henares;de, Calle Los Batanes, 2, Alcala de Henares, Comunidad de Madrid, España;{"personal amable": "excellent", "estupenda ubicaci\u00f3n": "good", "hamburguesas americanas": "excellent", "pollo": "excellent", "aves de corral": "excellent", "carne": "excellent", "s\u00e1ndwiches": "excellent", "calamares": "excellent", "marisco": "excellent", "patatas bravas": "excellent", "patatas": "excellent", "la salsa": "excellent"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.6/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Foursquare": "1", "Google": "609", "Facebook": "31", "Trip": "21"};Sin asientos al aire libre, Tarjetas de crédito aceptadas, Entrega, Para llevar, Reserva, Accesible para sillas de ruedas;{"Lunes": "13:00-16:00, 20:00-00:00", "Martes": "13:00-00:00", "Mi\u00e9rcoles": "Cerrado", "Jueves": "13:00-16:00, 20:00-00:00", "Viernes": "13:00-01:00", "S\u00e1bado": "13:00-04:30", "Domingo": "13:00-16:30, 20:00-00:00"};hamburguesas americanas, pollo, aves de corral, carne, sándwiches, calamares, marisco, patatas bravas, patatas, la salsa, tapas, rape, pescado, brownies, bocadillos, aperitivos, patatas fritas, paella, bocadillo de calamares, tortitas, queso, tapas de fusión, hamburguesas completas;comida para llevar, personal amable, estupenda ubicación, desayuno, pedir comida a domicilio, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Imperial Craft Beer, Alkala Nahar, Bar Carolina, Pepe Pasión;
Ébano Gastro Experience;Rango de precios por persona 12 €-42 €;Española, Mediterránea, Opciones vegetarianas;tel:+34911344758;C/ San Diego, 5, Alcala de Henares;C/ San Diego, 5, Alcala de Henares, Comunidad de Madrid, España;{"entrantes": "excellent", "bacalao": "excellent", "carne": "excellent", "pescado": "excellent", "marisco": "excellent", "pulpo": "excellent", "arroz": "excellent", "jam\u00f3n": "excellent", "pollo": "excellent", "queso": "excellent"};{"Google": "4.6/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Google": "1320", "Facebook": "55", "Trip": "272"};Tarjetas de crédito aceptadas, Entrega, Para llevar, Reserva, Wifi;{"Lunes": "Cerrado", "Martes": "13:00-16:30, 20:00-00:00", "Mi\u00e9rcoles": "13:00-16:30, 20:00-00:00", "Jueves": "13:00-16:30, 20:00-00:00", "Viernes": "13:00-16:30, 20:00-00:00", "S\u00e1bado": "13:00-16:30, 20:00-00:00", "Domingo": "13:00-16:30"};entrantes, bacalao, carne, pescado, marisco, tarta de queso, pulpo, arroz, pollo, queso, sopa, cerdo, tiramisú, carne de vaca, filetes, la salsa, hamburguesas completas, venado, pato, tempura, helado, salmón, helados, atún, queso burrata, pastelito de manzana;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ki-Jote, La Santina, La Pizzeria Casera, Restaurante Casino - Alcalá de Henares;https://ebanogastroexperience.es/
La Celiacoteca;Rango de precios por persona 9 €-22 €;;tel:+34911635645;C. Talamanca, 3, Alcala de Henares;C. Talamanca, 3, Alcala de Henares, Comunidad de Madrid, España;{"at\u00fan": "excellent", "cerdo": "excellent", "queso": "excellent", "pescado": "excellent", "beicon": "excellent", "carne": "excellent", "sopa": "excellent", "venado": "excellent"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.6/5", "Facebook": "4,7/5", "Trip": "4.7/5"};{"Foursquare": 0, "Google": "555", "Facebook": "225", "Trip": "44"};Para llevar;{"Lunes": "Cerrado", "Martes": "09:00-14:00, 17:00-20:00", "Mi\u00e9rcoles": "09:00-14:00", "Jueves": "09:00-14:00, 17:00-20:00", "Viernes": "09:00-14:00", "S\u00e1bado": "09:00-14:00", "Domingo": "09:00-14:00"};pasteles, atún, cerdo, galletas, queso, cruasáns, pescado, beicon, carne, sopa, venado, donuts, gofres, caldo, jamón italiano, magdalenas, pastelito de manzana, quiche, salchichas, pizza;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Riquelme, La Trainera, The Coffee Train - Cervantes, Casa Jacinto;http://www.laceliacoteca.com/
Ambigú Restaurante;Rango de precios por persona 35 €-45 €;Mediterránea, Española, Opciones vegetarianas;tel:+34910138432;C. de Cervantes, s / n, Alcala de Henares;C. de Cervantes, s / n, Alcala de Henares, Comunidad de Madrid, España;{"pescado": "excellent", "at\u00fan": "excellent", "entrantes": "good", "carne": "good", "cerdo": "good", "marisco": "good", "pulpo": "good", "solomillo": "good", "filetes": "good", "arroz": "excellent"};{"Yelp": "Sin valorar a\u00fan", "Google": "4.4/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Yelp": 0, "Foursquare": "30", "Google": "871", "Facebook": "56", "Trip": "522"};Asientos al aire libre, Reserva, Tarjetas de crédito aceptadas, Entrega, Para llevar, Wifi, Accesible para sillas de ruedas;{"Lunes": "13:00-16:00, 20:00-22:45", "Martes": "13:00-16:00", "Mi\u00e9rcoles": "Cerrado", "Jueves": "13:00-16:00, 20:00-22:45", "Viernes": "13:00-16:00, 20:00-23:00", "S\u00e1bado": "13:00-16:00, 20:00-23:00", "Domingo": "13:00-16:00, 20:00-23:00"};pescado, atún, entrantes, carne, cerdo, marisco, pulpo, filetes, arroz, pasteles, salmón, pato, queso, helado, venado, cordero, helados, sopa, la salsa, ceviche, tarta de queso, queso burrata, bacalao, tiramisú, hamburguesas completas, lubina, carne de vaca, pollo;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;La Pizzeria Casera, Nubium, La Seda, Pan De Cristal;http://www.ambigualcala.es/
Vaoke Gastro Bar;Rango de precios por persona 26 €-36 €;Fusión, Internacional, Saludable, Opciones vegetarianas;tel:+34919407609;C. Manuel Merino, 20, Alcala de Henares;C. Manuel Merino, 20, Alcala de Henares, Comunidad de Madrid, España;{"ceviche": "excellent", "marisco": "excellent", "arroz": "excellent", "pescado": "excellent", "la salsa": "excellent", "pollo": "excellent", "tempura": "excellent", "at\u00fan": "excellent", "pulpo": "excellent", "queso": "excellent"};{"Google": "4.7/5", "Facebook": "5/5", "Trip": "4.7/5"};{"Google": "460", "Facebook": 0, "Trip": "98"};Asientos al aire libre, No es para llevar, Reserva;{"Lunes": "Cerrado", "Martes": "13:30-18:00", "Mi\u00e9rcoles": "13:30-18:00", "Jueves": "13:30-18:00, 20:30-00:00", "Viernes": "13:30-18:00, 20:30-01:00", "S\u00e1bado": "13:30-18:00, 20:30-01:00", "Domingo": "13:30-18:00"};ceviche, marisco, arroz, pescado, la salsa, pollo, pasteles, tarta de queso, tempura, atún, pulpo, queso, helados, helado, pasta, carne, carne de vaca, chile, salmón, cerdo, arroz frito, bacalao, venado, filetes, ostras, sopa, entrantes;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ki-Jote, Sauz, The Coffee Train - Cervantes, Urban Poke Bar - Alcalá de Henares;
Restaurante Shiva;Rango de precios por persona 9 €-22 €;Mediterránea, Opciones vegetarianas;tel:+34919415669;Av. de la Alcarria, 4, Alcala de Henares;Av. de la Alcarria, 4, Alcala de Henares, Comunidad de Madrid, España;{"pollo tikka": "excellent", "cordero": "excellent", "carne": "excellent", "entrantes": "excellent", "pollo": "excellent", "sopa con crema": "excellent", "pan naan": "excellent", "sopa": "excellent", "queso": "excellent", "arroz": "excellent"};{"Google": "4.8/5", "Trip": "4.7/5"};{"Google": "241", "Trip": "71"};Tarjetas de crédito aceptadas, Entrega, Asientos al aire libre, Para llevar, Reserva;{"Lunes": "Cerrado", "Martes": "12:45-16:30, 20:00-22:30", "Mi\u00e9rcoles": "12:45-16:30, 20:00-22:30", "Jueves": "12:45-16:30, 20:00-22:30", "Viernes": "12:45-16:30, 20:00-22:30", "S\u00e1bado": "12:45-16:30, 20:00-22:30", "Domingo": "12:45-16:30, 20:00-22:30"};pollo tikka, cordero, carne, entrantes, pollo, pan naan, sopa, queso, arroz, la salsa, pollo frito, albóndigas, empanadillas chinas, yogur, empanadillas al vapor, marisco, pescado, helados, helado, arroz pilaf, tacos, venado;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Ébano Gastro Experience, Peculiar Gastro Taberna, GUXTOS, La Pizzeria Casera;http://restauranteshiva.es/
Complejo El Olivar;Rango de precios por persona más de 43 €;Europea, Mediterránea, Española, Centroeuropea, Opciones vegetarianas;tel:+34918831355;Cam. el Olivar, 9, Alcala de Henares;Cam. el Olivar, 9, Alcala de Henares, Comunidad de Madrid, España;{"filetes": "excellent", "solomillo": "excellent", "carne": "good", "pescado": "good", "ensalada de picadillo con aceitunas": "excellent", "salm\u00f3n": "excellent", "chorizo": "excellent", "marisco": "excellent", "cordero": "good", "la salsa": "good"};{"Google": "4.5/5", "Facebook": "4,8/5", "Trip": "4.7/5"};{"Foursquare": "10", "Google": "1997", "Facebook": "80", "Trip": "108"};Tarjetas de crédito aceptadas, Estacionamiento, Reserva, Accesible para sillas de ruedas;{"Lunes": "Cerrado", "Martes": "Cerrado", "Mi\u00e9rcoles": "11:00-20:00", "Jueves": "11:00-20:00", "Viernes": "11:00-20:00", "S\u00e1bado": "11:00-20:00", "Domingo": "11:00-20:00"};filetes, carne, pescado, helados, salmón, chorizo, helado, marisco, cordero, la salsa, pulpo, fletán, entrantes, cerdo, venado, bacalao, lubina, queso, carne de vaca, sopa, pollo, pasta, arroz;comida para llevar, estupenda ubicación, desayuno, pedir comida a domicilio, personal amable, gran servicio, cenas, ambiente acogedor, almuerzo, carta de vinos;Más que bocados sin gluten, Alcaravea, GUXTOS, Skrei Noruego;https://elolivar.es/
La Birroteca;Rango de precios por persona 9 €-22 €;;tel:+34600531676;Plaza de Los Irlandeses, Nº 14, Alcala de Henares;Plaza de Los Irlandeses, Nº 14, Alcala de Henares, Comunidad de Madrid, España;{"estupenda ubicaci\u00f3n": "excellent", "laing": "excellent", "sopa": "excellent", "menudo": "excellent", "completo": "excellent", "cerveza artesanal": "excellent", "cerveza sin alcohol": "excellent", "cerveza inglesa": "excellent"};{"Foursquare": "Sin valorar a\u00fan", "Google": "4.8/5", "Facebook": "Sin valorar a\u00fan", "Trip": "4.7/5"};{"Foursquare": "4", "Google": "215", "Facebook": 0, "Trip": "23"};Tarjetas de crédito aceptadas, Wifi, Para llevar;{"Lunes": "11:30-14:45, 18:00-21:00", "Martes": "11:30-14:45, 18:00-21:00", "Mi\u00e9rcoles": "11:30-14:45, 18:00-21:00", "Jueves": "11:30-14:45, 18:00-21:00", "Viernes": "11:30-14:45, 18:00-22:00", "S\u00e1bado": "11:30-14:45, 18:00-22:00", "Domingo": "12:00-14:45"};laing, galletas, sopa, menudo, carne, pescado, tapas, rape, patatas, cerdo, queso, empanadas, aves de corral, pollo, la salsa;comida para llevar, estupenda ubicación, gran servicio, desayuno, pedir comida a domicilio, personal amable, cenas, ambiente acogedor, almuerzo, carta de vinos;Vinoteca Esencias del Gourmet, Whelan's, Imperial Craft Beer, Maimonides;http://www.labirroteca.es/
